timestamp,temperature,rh,location
2023-03-14T16:11:57Z,8,85,by_lectern
2023-03-14T16:16:57Z,7,85,
2023-03-14T16:21:56Z,8,85,
2023-03-14T16:26:55Z,8,85,
2023-03-14T16:31:55Z,8,85,
2023-03-14T16:36:54Z,8,85,
2023-03-14T16:41:54Z,8,85,
2023-03-14T16:46:53Z,8,85,
2023-03-14T16:51:53Z,8,85,
2023-03-14T16:56:52Z,8,85,
2023-03-14T17:01:51Z,8,85,
2023-03-14T17:06:51Z,8,85,
2023-03-14T17:11:50Z,8,84,
2023-03-14T17:16:50Z,8,85,
2023-03-14T17:21:49Z,8,84,
2023-03-14T17:26:49Z,8,84,
2023-03-14T17:31:48Z,8,84,
2023-03-14T17:36:47Z,8,85,
2023-03-14T17:41:47Z,8,85,
2023-03-14T17:46:46Z,8,85,
2023-03-14T17:51:46Z,8,85,
2023-03-14T17:56:45Z,8,85,
2023-03-14T18:01:45Z,8,85,
2023-03-14T18:06:44Z,8,85,
2023-03-14T18:11:43Z,8,85,
2023-03-14T18:16:43Z,8,85,
2023-03-14T18:21:42Z,8,85,
2023-03-14T18:26:42Z,8,85,
2023-03-14T18:31:41Z,8,85,
2023-03-14T18:36:40Z,8,85,
2023-03-14T18:41:40Z,8,85,
2023-03-14T18:46:39Z,8,85,
2023-03-14T18:51:39Z,8,85,
2023-03-14T18:56:38Z,8,85,
2023-03-14T19:01:38Z,8,85,
2023-03-14T19:06:37Z,8,85,
2023-03-14T19:11:36Z,8,85,
2023-03-14T19:16:36Z,8,85,
2023-03-14T19:21:35Z,8,85,
2023-03-14T19:26:35Z,8,85,
2023-03-14T19:31:34Z,8,85,
2023-03-14T19:36:34Z,8,85,
2023-03-14T19:41:33Z,7,85,
2023-03-14T19:46:32Z,7,85,
2023-03-14T19:51:32Z,7,85,
2023-03-14T19:56:31Z,7,85,
2023-03-14T20:01:31Z,7,85,
2023-03-14T20:06:30Z,7,85,
2023-03-14T20:11:29Z,7,85,
2023-03-14T20:16:29Z,7,85,
2023-03-14T20:21:28Z,7,85,
2023-03-14T20:26:28Z,7,85,
2023-03-14T20:31:27Z,7,85,
2023-03-14T20:36:27Z,7,85,
2023-03-14T20:41:26Z,7,85,
2023-03-14T20:46:25Z,7,85,
2023-03-14T20:51:25Z,7,85,
2023-03-14T20:56:24Z,7,85,
2023-03-14T21:01:24Z,7,85,
2023-03-14T21:06:23Z,7,85,
2023-03-14T21:11:23Z,7,85,
2023-03-14T21:16:22Z,7,86,
2023-03-14T21:21:21Z,7,86,
2023-03-14T21:26:21Z,7,86,
2023-03-14T21:31:20Z,7,86,
2023-03-14T21:36:20Z,7,86,
2023-03-14T21:41:19Z,7,86,
2023-03-14T21:46:18Z,7,86,
2023-03-14T21:51:18Z,7,85,
2023-03-14T21:56:17Z,7,86,
2023-03-14T22:01:17Z,6,86,
2023-03-14T22:06:16Z,6,86,
2023-03-14T22:11:16Z,6,86,
2023-03-14T22:16:15Z,6,86,
2023-03-14T22:21:14Z,6,86,
2023-03-14T22:26:14Z,6,86,
2023-03-14T22:31:13Z,6,86,
2023-03-14T22:36:13Z,6,86,
2023-03-14T22:41:12Z,6,86,
2023-03-14T22:46:12Z,6,86,
2023-03-14T22:51:11Z,6,86,
2023-03-14T22:56:10Z,6,86,
2023-03-14T23:01:10Z,6,86,
2023-03-14T23:06:09Z,6,86,
2023-03-14T23:11:09Z,6,86,
2023-03-14T23:16:08Z,6,86,
2023-03-14T23:21:07Z,6,86,
2023-03-14T23:26:07Z,6,86,
2023-03-14T23:31:06Z,6,86,
2023-03-14T23:36:06Z,6,86,
2023-03-14T23:41:05Z,6,86,
2023-03-14T23:46:05Z,6,86,
2023-03-14T23:51:04Z,6,86,
2023-03-14T23:56:03Z,6,86,
2023-03-15T00:01:03Z,6,86,
2023-03-15T00:06:02Z,6,86,
2023-03-15T00:11:02Z,6,86,
2023-03-15T00:16:01Z,6,86,
2023-03-15T00:21:01Z,6,86,
2023-03-15T00:26:00Z,6,86,
2023-03-15T00:30:59Z,5,86,
2023-03-15T00:35:59Z,5,86,
2023-03-15T00:40:58Z,5,86,
2023-03-15T00:45:58Z,5,86,
2023-03-15T00:50:57Z,5,86,
2023-03-15T00:55:56Z,5,86,
2023-03-15T01:00:56Z,5,86,
2023-03-15T01:05:55Z,5,86,
2023-03-15T01:10:55Z,5,86,
2023-03-15T01:15:54Z,5,86,
2023-03-15T01:20:54Z,5,86,
2023-03-15T01:25:53Z,5,86,
2023-03-15T01:30:52Z,5,86,
2023-03-15T01:35:52Z,5,86,
2023-03-15T01:40:51Z,5,86,
2023-03-15T01:45:51Z,5,86,
2023-03-15T01:50:50Z,5,86,
2023-03-15T01:55:50Z,5,86,
2023-03-15T02:00:49Z,5,86,
2023-03-15T02:05:48Z,5,86,
2023-03-15T02:10:48Z,5,86,
2023-03-15T02:15:47Z,5,86,
2023-03-15T02:20:47Z,5,86,
2023-03-15T02:25:46Z,5,86,
2023-03-15T02:30:45Z,5,86,
2023-03-15T02:35:45Z,5,86,
2023-03-15T02:40:44Z,5,86,
2023-03-15T02:45:44Z,5,86,
2023-03-15T02:50:43Z,5,86,
2023-03-15T02:55:43Z,5,86,
2023-03-15T03:00:42Z,5,86,
2023-03-15T03:05:41Z,5,86,
2023-03-15T03:10:41Z,5,86,
2023-03-15T03:15:40Z,5,86,
2023-03-15T03:20:40Z,5,86,
2023-03-15T03:25:39Z,4,86,
2023-03-15T03:30:39Z,5,86,
2023-03-15T03:35:38Z,5,86,
2023-03-15T03:40:37Z,5,86,
2023-03-15T03:45:37Z,4,86,
2023-03-15T03:50:36Z,4,86,
2023-03-15T03:55:36Z,5,86,
2023-03-15T04:00:35Z,4,86,
2023-03-15T04:05:34Z,4,86,
2023-03-15T04:10:34Z,4,86,
2023-03-15T04:15:33Z,4,86,
2023-03-15T04:20:33Z,4,86,
2023-03-15T04:25:32Z,4,86,
2023-03-15T04:30:32Z,4,85,
2023-03-15T04:35:31Z,4,86,
2023-03-15T04:40:30Z,4,85,
2023-03-15T04:45:30Z,4,86,
2023-03-15T04:50:29Z,4,86,
2023-03-15T04:55:29Z,4,85,
2023-03-15T05:00:28Z,4,86,
2023-03-15T05:05:28Z,4,86,
2023-03-15T05:10:27Z,4,85,
2023-03-15T05:15:26Z,4,86,
2023-03-15T05:20:26Z,4,86,
2023-03-15T05:25:25Z,4,85,
2023-03-15T05:30:25Z,4,86,
2023-03-15T05:35:24Z,4,86,
2023-03-15T05:40:23Z,4,86,
2023-03-15T05:45:23Z,4,86,
2023-03-15T05:50:22Z,4,86,
2023-03-15T05:55:22Z,4,86,
2023-03-15T06:00:21Z,4,85,
2023-03-15T06:05:21Z,4,86,
2023-03-15T06:10:20Z,4,86,
2023-03-15T06:15:19Z,4,86,
2023-03-15T06:20:19Z,4,86,
2023-03-15T06:25:18Z,4,86,
2023-03-15T06:30:18Z,4,85,
2023-03-15T06:35:17Z,4,86,
2023-03-15T06:40:17Z,3,86,
2023-03-15T06:45:16Z,4,86,
2023-03-15T06:50:15Z,4,85,
2023-03-15T06:55:15Z,4,86,
2023-03-15T07:00:14Z,4,85,
2023-03-15T07:05:14Z,4,86,
2023-03-15T07:10:13Z,4,86,
2023-03-15T07:15:12Z,4,86,
2023-03-15T07:20:12Z,3,86,
2023-03-15T07:25:11Z,4,85,
2023-03-15T07:30:11Z,4,86,
2023-03-15T07:35:10Z,4,86,
2023-03-15T07:40:10Z,4,86,
2023-03-15T07:45:09Z,4,86,
2023-03-15T07:50:08Z,4,85,
2023-03-15T07:55:08Z,3,86,
2023-03-15T08:00:07Z,4,86,
2023-03-15T08:05:07Z,3,86,
2023-03-15T08:10:06Z,3,85,
2023-03-15T08:15:06Z,4,86,
2023-03-15T08:20:05Z,4,86,
2023-03-15T08:25:04Z,3,86,
2023-03-15T08:30:04Z,4,86,
2023-03-15T08:35:03Z,4,86,
2023-03-15T08:40:03Z,3,86,
2023-03-15T08:45:02Z,3,86,
2023-03-15T08:50:01Z,4,86,
2023-03-15T08:55:01Z,3,86,
2023-03-15T09:00:00Z,4,86,
2023-03-15T09:05:00Z,4,86,
2023-03-15T09:09:59Z,4,86,
2023-03-15T09:14:59Z,4,86,
2023-03-15T09:19:58Z,4,86,
2023-03-15T09:24:57Z,4,86,
2023-03-15T09:29:57Z,4,86,
2023-03-15T09:34:56Z,4,85,
2023-03-15T09:39:56Z,4,85,
2023-03-15T09:44:55Z,4,86,
2023-03-15T09:49:55Z,4,85,
2023-03-15T09:54:54Z,4,85,
2023-03-15T09:59:53Z,4,86,
2023-03-15T10:04:53Z,4,85,
2023-03-15T10:09:52Z,4,85,
2023-03-15T10:14:52Z,4,85,
2023-03-15T10:19:51Z,4,85,
2023-03-15T10:24:50Z,4,85,
2023-03-15T10:29:50Z,4,85,
2023-03-15T10:34:49Z,4,85,
2023-03-15T10:39:49Z,4,85,
2023-03-15T10:44:48Z,4,85,
2023-03-15T10:49:48Z,4,85,
2023-03-15T10:54:47Z,4,85,
2023-03-15T10:59:46Z,4,85,
2023-03-15T11:04:46Z,4,85,
2023-03-15T11:09:45Z,4,85,
2023-03-15T11:14:45Z,4,85,
2023-03-15T11:19:44Z,4,85,
2023-03-15T11:24:44Z,4,85,
2023-03-15T11:29:43Z,4,85,
2023-03-15T11:34:42Z,4,85,
2023-03-15T11:39:42Z,4,85,
2023-03-15T11:44:41Z,4,85,
2023-03-15T11:49:41Z,4,85,
2023-03-15T11:54:40Z,4,85,
2023-03-15T11:59:40Z,4,85,
2023-03-15T12:04:39Z,4,85,
2023-03-15T12:09:38Z,4,85,
2023-03-15T12:14:38Z,4,85,
2023-03-15T12:19:37Z,4,85,
2023-03-15T12:24:37Z,5,85,
2023-03-15T12:29:36Z,5,85,
2023-03-15T12:34:35Z,5,85,
2023-03-15T12:39:35Z,5,85,
2023-03-15T12:44:34Z,5,84,
2023-03-15T12:49:34Z,5,84,
2023-03-15T12:54:33Z,5,84,
2023-03-15T12:59:33Z,5,84,
2023-03-15T13:04:32Z,5,84,
2023-03-15T13:09:31Z,5,84,
2023-03-15T13:14:31Z,5,84,
2023-03-15T13:19:30Z,5,84,
2023-03-15T13:24:30Z,5,84,
2023-03-15T13:29:29Z,5,84,
2023-03-15T13:34:29Z,5,84,
2023-03-15T13:39:28Z,5,84,
2023-03-15T13:44:27Z,5,84,
2023-03-15T13:49:27Z,5,84,
2023-03-15T13:54:26Z,5,84,
2023-03-15T13:59:26Z,5,84,
2023-03-15T14:04:25Z,5,84,
2023-03-15T14:09:24Z,5,84,
2023-03-15T14:14:24Z,5,84,
2023-03-15T14:19:23Z,6,84,
2023-03-15T14:24:23Z,6,84,
2023-03-15T14:29:22Z,6,84,
2023-03-15T14:34:22Z,6,84,
2023-03-15T14:39:21Z,5,84,
2023-03-15T14:44:20Z,6,83,
2023-03-15T14:49:20Z,6,84,
2023-03-15T14:54:19Z,6,84,
2023-03-15T14:59:19Z,6,83,
2023-03-15T15:04:18Z,6,83,
2023-03-15T15:09:18Z,6,84,
2023-03-15T15:14:17Z,6,83,
2023-03-15T15:19:16Z,6,84,
2023-03-15T15:24:16Z,6,84,
2023-03-15T15:29:15Z,6,84,
2023-03-15T15:34:15Z,6,84,
2023-03-15T15:39:14Z,6,83,
2023-03-15T15:44:13Z,6,84,
2023-03-15T15:49:13Z,6,84,
2023-03-15T15:54:12Z,6,84,
2023-03-15T15:59:12Z,6,84,
2023-03-15T16:04:11Z,6,84,
2023-03-15T16:09:11Z,6,84,
2023-03-15T16:14:10Z,6,84,
2023-03-15T16:19:09Z,6,84,
2023-03-15T16:24:09Z,6,84,
2023-03-15T16:29:08Z,6,84,
2023-03-15T16:34:08Z,6,84,
2023-03-15T16:39:07Z,6,84,
2023-03-15T16:44:07Z,6,84,
2023-03-15T16:49:06Z,6,84,
2023-03-15T16:54:05Z,6,84,
2023-03-15T16:59:05Z,6,84,
2023-03-15T17:04:04Z,5,84,
2023-03-15T17:09:04Z,6,84,
2023-03-15T17:14:03Z,6,84,
2023-03-15T17:19:02Z,5,84,
2023-03-15T17:24:02Z,6,84,
2023-03-15T17:29:01Z,6,84,
2023-03-15T17:34:01Z,6,85,
2023-03-15T17:39:00Z,6,85,
2023-03-15T17:44:00Z,5,85,
2023-03-15T17:48:59Z,5,84,
2023-03-15T17:53:58Z,6,85,
2023-03-15T17:58:58Z,6,85,
2023-03-15T18:03:57Z,5,85,
2023-03-15T18:08:57Z,5,85,
2023-03-15T18:13:56Z,5,85,
2023-03-15T18:18:56Z,5,85,
2023-03-15T18:23:55Z,5,85,
2023-03-15T18:28:54Z,5,85,
2023-03-15T18:33:54Z,5,85,
2023-03-15T18:38:53Z,5,85,
2023-03-15T18:43:53Z,5,85,
2023-03-15T18:48:52Z,6,85,
2023-03-15T18:53:51Z,5,85,
2023-03-15T18:58:51Z,5,85,
2023-03-15T19:03:50Z,5,85,
2023-03-15T19:08:50Z,5,85,
2023-03-15T19:13:49Z,5,85,
2023-03-15T19:18:49Z,5,85,
2023-03-15T19:23:48Z,5,85,
2023-03-15T19:28:47Z,5,85,
2023-03-15T19:33:47Z,5,85,
2023-03-15T19:38:46Z,5,85,
2023-03-15T19:43:46Z,5,85,
2023-03-15T19:48:45Z,5,85,
2023-03-15T19:53:45Z,5,85,
2023-03-15T19:58:44Z,5,85,
2023-03-15T20:03:43Z,5,85,
2023-03-15T20:08:43Z,5,85,
2023-03-15T20:13:42Z,5,85,
2023-03-15T20:18:42Z,5,85,
2023-03-15T20:23:41Z,5,85,
2023-03-15T20:28:40Z,5,85,
2023-03-15T20:33:40Z,5,85,
2023-03-15T20:38:39Z,5,85,
2023-03-15T20:43:39Z,5,85,
2023-03-15T20:48:38Z,5,85,
2023-03-15T20:53:38Z,5,85,
2023-03-15T20:58:37Z,5,85,
2023-03-15T21:03:36Z,5,85,
2023-03-15T21:08:36Z,5,85,
2023-03-15T21:13:35Z,5,85,
2023-03-15T21:18:35Z,5,85,
2023-03-15T21:23:34Z,5,85,
2023-03-15T21:28:34Z,5,85,
2023-03-15T21:33:33Z,5,85,
2023-03-15T21:38:32Z,5,85,
2023-03-15T21:43:32Z,5,85,
2023-03-15T21:48:31Z,5,85,
2023-03-15T21:53:31Z,5,85,
2023-03-15T21:58:30Z,5,85,
2023-03-15T22:03:29Z,5,85,
2023-03-15T22:08:29Z,5,85,
2023-03-15T22:13:28Z,5,85,
2023-03-15T22:18:28Z,5,85,
2023-03-15T22:23:27Z,5,85,
2023-03-15T22:28:27Z,5,85,
2023-03-15T22:33:26Z,5,85,
2023-03-15T22:38:25Z,5,85,
2023-03-15T22:43:25Z,5,85,
2023-03-15T22:48:24Z,5,85,
2023-03-15T22:53:24Z,5,85,
2023-03-15T22:58:23Z,5,85,
2023-03-15T23:03:23Z,5,85,
2023-03-15T23:08:22Z,5,85,
2023-03-15T23:13:21Z,5,85,
2023-03-15T23:18:21Z,5,85,
2023-03-15T23:23:20Z,5,85,
2023-03-15T23:28:20Z,5,85,
2023-03-15T23:33:19Z,5,85,
2023-03-15T23:38:18Z,5,85,
2023-03-15T23:43:18Z,5,85,
2023-03-15T23:48:17Z,5,85,
2023-03-15T23:53:17Z,5,85,
2023-03-15T23:58:16Z,5,85,
2023-03-16T00:03:16Z,5,85,
2023-03-16T00:08:15Z,5,85,
2023-03-16T00:13:14Z,5,85,
2023-03-16T00:18:14Z,5,85,
2023-03-16T00:23:13Z,5,85,
2023-03-16T00:28:13Z,5,85,
2023-03-16T00:33:12Z,5,85,
2023-03-16T00:38:12Z,5,85,
2023-03-16T00:43:11Z,5,85,
2023-03-16T00:48:10Z,5,85,
2023-03-16T00:53:10Z,5,85,
2023-03-16T00:58:09Z,5,85,
2023-03-16T01:03:09Z,5,85,
2023-03-16T01:08:08Z,5,85,
2023-03-16T01:13:07Z,5,85,
2023-03-16T01:18:07Z,5,85,
2023-03-16T01:23:06Z,5,85,
2023-03-16T01:28:06Z,5,85,
2023-03-16T01:33:05Z,5,85,
2023-03-16T01:38:05Z,5,85,
2023-03-16T01:43:04Z,5,85,
2023-03-16T01:48:03Z,5,85,
2023-03-16T01:53:03Z,5,85,
2023-03-16T01:58:02Z,5,85,
2023-03-16T02:03:02Z,5,85,
2023-03-16T02:08:01Z,5,85,
2023-03-16T02:13:01Z,5,85,
2023-03-16T02:18:00Z,5,85,
2023-03-16T02:22:59Z,5,85,
2023-03-16T02:27:59Z,5,85,
2023-03-16T02:32:58Z,5,85,
2023-03-16T02:37:58Z,5,85,
2023-03-16T02:42:57Z,5,85,
2023-03-16T02:47:56Z,5,85,
2023-03-16T02:52:56Z,5,85,
2023-03-16T02:57:55Z,5,85,
2023-03-16T03:02:55Z,5,85,
2023-03-16T03:07:54Z,5,85,
2023-03-16T03:12:54Z,5,86,
2023-03-16T03:17:53Z,5,85,
2023-03-16T03:22:52Z,5,86,
2023-03-16T03:27:52Z,5,85,
2023-03-16T03:32:51Z,5,85,
2023-03-16T03:37:51Z,5,85,
2023-03-16T03:42:50Z,5,85,
2023-03-16T03:47:50Z,5,86,
2023-03-16T03:52:49Z,5,85,
2023-03-16T03:57:48Z,5,86,
2023-03-16T04:02:48Z,5,86,
2023-03-16T04:07:47Z,5,86,
2023-03-16T04:12:47Z,5,85,
2023-03-16T04:17:46Z,5,86,
2023-03-16T04:22:45Z,5,86,
2023-03-16T04:27:45Z,5,85,
2023-03-16T04:32:44Z,5,86,
2023-03-16T04:37:44Z,5,86,
2023-03-16T04:42:43Z,5,86,
2023-03-16T04:47:43Z,5,86,
2023-03-16T04:52:42Z,5,86,
2023-03-16T04:57:41Z,5,86,
2023-03-16T05:02:41Z,5,86,
2023-03-16T05:07:40Z,5,86,
2023-03-16T05:12:40Z,5,86,
2023-03-16T05:17:39Z,5,86,
2023-03-16T05:22:39Z,5,86,
2023-03-16T05:27:38Z,5,86,
2023-03-16T05:32:37Z,5,86,
2023-03-16T05:37:37Z,5,86,
2023-03-16T05:42:36Z,5,86,
2023-03-16T05:47:36Z,5,86,
2023-03-16T05:52:35Z,5,86,
2023-03-16T05:57:35Z,5,86,
2023-03-16T06:02:34Z,5,86,
2023-03-16T06:07:33Z,5,86,
2023-03-16T06:12:33Z,5,86,
2023-03-16T06:17:32Z,5,86,
2023-03-16T06:22:32Z,5,86,
2023-03-16T06:27:31Z,5,86,
2023-03-16T06:32:30Z,5,86,
2023-03-16T06:37:30Z,5,86,
2023-03-16T06:42:29Z,5,86,
2023-03-16T06:47:29Z,5,86,
2023-03-16T06:52:28Z,5,86,
2023-03-16T06:57:28Z,5,85,
2023-03-16T07:02:27Z,5,86,
2023-03-16T07:07:26Z,5,86,
2023-03-16T07:12:26Z,5,86,
2023-03-16T07:17:25Z,5,86,
2023-03-16T07:22:25Z,5,86,
2023-03-16T07:27:24Z,5,86,
2023-03-16T07:32:24Z,5,86,
2023-03-16T07:37:23Z,5,86,
2023-03-16T07:42:22Z,5,86,
2023-03-16T07:47:22Z,5,86,
2023-03-16T07:52:21Z,5,86,
2023-03-16T07:57:21Z,5,86,
2023-03-16T08:02:20Z,5,86,
2023-03-16T08:07:19Z,5,86,
2023-03-16T08:12:19Z,5,86,
2023-03-16T08:17:18Z,5,86,
2023-03-16T08:22:18Z,5,86,
2023-03-16T08:27:17Z,5,86,
2023-03-16T08:32:17Z,5,86,
2023-03-16T08:37:16Z,5,86,
2023-03-16T08:42:15Z,5,86,
2023-03-16T08:47:15Z,5,86,
2023-03-16T08:52:14Z,5,86,
2023-03-16T08:57:14Z,5,86,
2023-03-16T09:02:13Z,5,86,
2023-03-16T09:07:13Z,5,86,
2023-03-16T09:12:12Z,5,86,
2023-03-16T09:17:11Z,5,86,
2023-03-16T09:22:11Z,5,86,
2023-03-16T09:27:10Z,5,86,
2023-03-16T09:32:10Z,5,86,
2023-03-16T09:37:09Z,5,86,
2023-03-16T09:42:08Z,5,86,
2023-03-16T09:47:08Z,5,86,
2023-03-16T09:52:07Z,5,86,
2023-03-16T09:57:07Z,5,86,
2023-03-16T10:02:06Z,5,86,
2023-03-16T10:07:06Z,5,86,
2023-03-16T10:12:05Z,5,86,
2023-03-16T10:17:04Z,5,86,
2023-03-16T10:22:04Z,5,86,
2023-03-16T10:27:03Z,5,86,
2023-03-16T10:32:03Z,5,86,
2023-03-16T10:37:02Z,5,86,
2023-03-16T10:42:02Z,5,86,
2023-03-16T10:47:01Z,5,86,
2023-03-16T10:52:00Z,5,86,
2023-03-16T10:57:00Z,5,86,
2023-03-16T11:01:59Z,5,86,
2023-03-16T11:06:59Z,5,86,
2023-03-16T11:11:58Z,5,86,
2023-03-16T11:16:57Z,5,86,
2023-03-16T11:21:57Z,5,86,
2023-03-16T11:26:56Z,5,86,
2023-03-16T11:31:56Z,5,86,
2023-03-16T11:36:55Z,5,86,
2023-03-16T11:41:55Z,5,86,
2023-03-16T11:46:54Z,5,86,
2023-03-16T11:51:53Z,5,86,
2023-03-16T11:56:53Z,5,86,
2023-03-16T12:01:52Z,5,86,
2023-03-16T12:06:52Z,5,86,
2023-03-16T12:11:51Z,5,86,
2023-03-16T12:16:51Z,5,86,
2023-03-16T12:21:50Z,5,86,
2023-03-16T12:26:49Z,5,86,
2023-03-16T12:31:49Z,5,86,
2023-03-16T12:36:48Z,5,86,
2023-03-16T12:41:48Z,5,87,
2023-03-16T12:46:47Z,5,87,
2023-03-16T12:51:46Z,5,86,
2023-03-16T12:56:46Z,6,87,
2023-03-16T13:01:45Z,5,86,
2023-03-16T13:06:45Z,5,87,
2023-03-16T13:11:44Z,6,87,
2023-03-16T13:16:44Z,6,87,
2023-03-16T13:21:43Z,6,86,
2023-03-16T13:26:42Z,6,87,
2023-03-16T13:31:42Z,6,87,
2023-03-16T13:36:41Z,6,87,
2023-03-16T13:41:41Z,5,87,
2023-03-16T13:46:40Z,6,87,
2023-03-16T13:51:40Z,6,87,
2023-03-16T13:56:39Z,6,87,
2023-03-16T14:01:38Z,6,87,
2023-03-16T14:06:38Z,6,87,
2023-03-16T14:11:37Z,6,87,
2023-03-16T14:16:37Z,6,87,
2023-03-16T14:21:36Z,6,87,
2023-03-16T14:26:35Z,6,87,
2023-03-16T14:31:35Z,6,87,
2023-03-16T14:36:34Z,6,87,
2023-03-16T14:41:34Z,6,87,
2023-03-16T14:46:33Z,6,87,
2023-03-16T14:51:33Z,6,87,
2023-03-16T14:56:32Z,6,87,
2023-03-16T15:01:31Z,6,87,
2023-03-16T15:06:31Z,6,87,
2023-03-16T15:11:30Z,6,87,
2023-03-16T15:16:30Z,6,87,
2023-03-16T15:21:29Z,6,87,
2023-03-16T15:26:29Z,6,87,
2023-03-16T15:31:28Z,6,87,
2023-03-16T15:36:27Z,6,87,
2023-03-16T15:41:27Z,6,87,
2023-03-16T15:46:26Z,6,87,
2023-03-16T15:51:26Z,6,87,
2023-03-16T15:56:25Z,6,87,
2023-03-16T16:01:24Z,6,87,
2023-03-16T16:06:24Z,6,87,
2023-03-16T16:11:23Z,6,87,
2023-03-16T16:16:23Z,6,87,
2023-03-16T16:21:22Z,6,87,
2023-03-16T16:26:22Z,6,87,
2023-03-16T16:31:21Z,6,87,
2023-03-16T16:36:20Z,6,87,
2023-03-16T16:41:20Z,6,87,
2023-03-16T16:46:19Z,6,87,
2023-03-16T16:51:19Z,6,87,
2023-03-16T16:56:18Z,6,87,
2023-03-16T17:01:18Z,7,87,
2023-03-16T17:06:17Z,7,87,
2023-03-16T17:11:16Z,6,87,
2023-03-16T17:16:16Z,6,87,
2023-03-16T17:21:15Z,6,87,
2023-03-16T17:26:15Z,6,87,
2023-03-16T17:31:14Z,7,87,
2023-03-16T17:36:13Z,7,87,
2023-03-16T17:41:13Z,7,87,
2023-03-16T17:46:12Z,7,87,
2023-03-16T17:51:12Z,6,87,
2023-03-16T17:56:11Z,7,87,
2023-03-16T18:01:11Z,7,87,
2023-03-16T18:06:10Z,6,87,
2023-03-16T18:11:09Z,7,87,
2023-03-16T18:16:09Z,6,87,
2023-03-16T18:21:08Z,7,87,
2023-03-16T18:26:08Z,7,87,
2023-03-16T18:31:07Z,7,87,
2023-03-16T18:36:07Z,7,87,
2023-03-16T18:41:06Z,7,87,
2023-03-16T18:46:05Z,7,87,
2023-03-16T18:51:05Z,7,87,
2023-03-16T18:56:04Z,7,87,
2023-03-16T19:01:04Z,7,87,
2023-03-16T19:06:03Z,7,87,
2023-03-16T19:11:02Z,7,87,
2023-03-16T19:16:02Z,7,87,
2023-03-16T19:21:01Z,7,87,
2023-03-16T19:26:01Z,7,87,
2023-03-16T19:31:00Z,7,87,
2023-03-16T19:36:00Z,7,87,
2023-03-16T19:40:59Z,7,87,
2023-03-16T19:45:58Z,7,87,
2023-03-16T19:50:58Z,7,88,
2023-03-16T19:55:57Z,7,88,
2023-03-16T20:00:57Z,7,88,
2023-03-16T20:05:56Z,7,88,
2023-03-16T20:10:56Z,7,88,
2023-03-16T20:15:55Z,7,88,
2023-03-16T20:20:54Z,7,88,
2023-03-16T20:25:54Z,7,88,
2023-03-16T20:30:53Z,7,88,
2023-03-16T20:35:53Z,7,88,
2023-03-16T20:40:52Z,7,88,
2023-03-16T20:45:51Z,7,88,
2023-03-16T20:50:51Z,7,88,
2023-03-16T20:55:50Z,7,88,
2023-03-16T21:00:50Z,7,88,
2023-03-16T21:05:49Z,7,88,
2023-03-16T21:10:49Z,7,88,
2023-03-16T21:15:48Z,7,88,
2023-03-16T21:20:47Z,7,88,
2023-03-16T21:25:47Z,7,88,
2023-03-16T21:30:46Z,7,88,
2023-03-16T21:35:46Z,7,88,
2023-03-16T21:40:45Z,7,88,
2023-03-16T21:45:45Z,7,88,
2023-03-16T21:50:44Z,7,88,
2023-03-16T21:55:43Z,7,88,
2023-03-16T22:00:43Z,7,88,
2023-03-16T22:05:42Z,7,88,
2023-03-16T22:10:42Z,7,88,
2023-03-16T22:15:41Z,7,88,
2023-03-16T22:20:40Z,7,88,
2023-03-16T22:25:40Z,7,88,
2023-03-16T22:30:39Z,7,88,
2023-03-16T22:35:39Z,7,88,
2023-03-16T22:40:38Z,7,88,
2023-03-16T22:45:38Z,7,88,
2023-03-16T22:50:37Z,7,88,
2023-03-16T22:55:36Z,7,88,
2023-03-16T23:00:36Z,7,88,
2023-03-16T23:05:35Z,7,88,
2023-03-16T23:10:35Z,7,88,
2023-03-16T23:15:34Z,7,88,
2023-03-16T23:20:34Z,7,88,
